step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_encoded,balanceOrig_diff,balanceDest_diff,amount_to_oldbalanceOrg_ratio,amount_to_oldbalanceDest_ratio,is_zero_oldbalanceOrg,is_zero_newbalanceOrig,is_zero_oldbalanceDest,is_zero_newbalanceDest,is_merchant
1,181.0,181.0,0.0,0.0,0.0,1,4,181.0,0.0,1.0,0.0,0,1,1,1,0
1,181.0,181.0,0.0,21182.0,0.0,1,1,181.0,21182.0,1.0,0.008544991030119914,0,1,0,1,0
1,2806.0,2806.0,0.0,0.0,0.0,1,4,2806.0,0.0,1.0,0.0,0,1,1,1,0
1,2806.0,2806.0,0.0,26202.0,0.0,1,1,2806.0,26202.0,1.0,0.10709106175101138,0,1,0,1,0
1,20128.0,20128.0,0.0,0.0,0.0,1,4,20128.0,0.0,1.0,0.0,0,1,1,1,0
1,20128.0,20128.0,0.0,6268.0,12145.85,1,1,20128.0,-5877.85,1.0,3.2112316528398215,0,1,0,0,0
1,416001.33,0.0,0.0,102.0,9291619.62,1,1,0.0,-9291517.62,0.0,4078.444411764706,1,1,0,0,0
1,1277212.77,1277212.77,0.0,0.0,0.0,1,4,1277212.77,0.0,1.0,0.0,0,1,1,1,0
1,1277212.77,1277212.77,0.0,0.0,2444985.19,1,1,1277212.77,-2444985.19,1.0,0.0,0,1,1,0,0
1,35063.63,35063.63,0.0,0.0,0.0,1,4,35063.63,0.0,1.0,0.0,0,1,1,1,0
1,35063.63,35063.63,0.0,31140.0,7550.03,1,1,35063.63,23589.97,1.0,1.125999678869621,0,1,0,0,0
1,25071.46,25071.46,0.0,0.0,0.0,1,4,25071.46,0.0,1.0,0.0,0,1,1,1,0
1,25071.46,25071.46,0.0,9083.76,34155.22,1,1,25071.46,-25071.46,1.0,2.7600310884479553,0,1,0,0,0
1,132842.64,4499.08,0.0,0.0,132842.64,1,1,4499.08,-132842.64,29.526623220747357,0.0,0,1,1,0,0
1,235238.66,235238.66,0.0,0.0,0.0,1,4,235238.66,0.0,1.0,0.0,0,1,1,1,0
1,235238.66,235238.66,0.0,0.0,235238.66,1,1,235238.66,-235238.66,1.0,0.0,0,1,1,0,0
2,1096187.24,1096187.24,0.0,0.0,0.0,1,4,1096187.24,0.0,1.0,0.0,0,1,1,1,0
2,1096187.24,1096187.24,0.0,0.0,1096187.24,1,1,1096187.24,-1096187.24,1.0,0.0,0,1,1,0,0
2,963532.14,963532.14,0.0,0.0,0.0,1,4,963532.14,0.0,1.0,0.0,0,1,1,1,0
2,963532.14,963532.14,0.0,132382.57,1095914.71,1,1,963532.14,-963532.1399999999,1.0,7.278391256492452,0,1,0,0,0
2,14949.84,14949.84,0.0,0.0,0.0,1,4,14949.84,0.0,1.0,0.0,0,1,1,1,0
2,14949.84,14949.84,0.0,18161.79,33111.63,1,1,14949.84,-14949.839999999997,1.0,0.8231479386117778,0,1,0,0,0
2,18627.02,18627.02,0.0,0.0,0.0,1,4,18627.02,0.0,1.0,0.0,0,1,1,1,0
2,18627.02,18627.02,0.0,147251.58,165878.6,1,1,18627.02,-18627.02000000002,1.0,0.12649792959776732,0,1,0,0,0
3,10539.37,10539.37,0.0,0.0,0.0,1,4,10539.37,0.0,1.0,0.0,0,1,1,1,0
3,10539.37,10539.37,0.0,0.0,10539.37,1,1,10539.37,-10539.37,1.0,0.0,0,1,1,0,0
3,22877.0,22877.0,0.0,0.0,0.0,1,4,22877.0,0.0,1.0,0.0,0,1,1,1,0
3,22877.0,22877.0,0.0,0.0,22877.0,1,1,22877.0,-22877.0,1.0,0.0,0,1,1,0,0
4,10000000.0,12900000.0,2930418.44,0.0,0.0,1,4,9969581.56,0.0,0.7751937984496124,0.0,0,0,1,1,0
4,10000000.0,10000000.0,0.0,0.0,9941904.21,1,1,10000000.0,-9941904.21,1.0,0.0,0,1,1,0,0
4,2930418.44,2930418.44,0.0,0.0,0.0,1,4,2930418.44,0.0,1.0,0.0,0,1,1,1,0
4,2930418.44,2930418.44,0.0,3616012.1,6963508.84,1,1,2930418.44,-3347496.7399999998,1.0,0.8104006178519148,0,1,0,0,0
4,169941.73,169941.73,0.0,0.0,0.0,1,4,169941.73,0.0,1.0,0.0,0,1,1,1,0
4,169941.73,169941.73,0.0,0.0,169941.73,1,1,169941.73,-169941.73,1.0,0.0,0,1,1,0,0
4,13707.11,13707.11,0.0,0.0,0.0,1,4,13707.11,0.0,1.0,0.0,0,1,1,1,0
4,13707.11,13707.11,0.0,0.0,13707.11,1,1,13707.11,-13707.11,1.0,0.0,0,1,1,0,0
4,86070.17,86070.17,0.0,0.0,0.0,1,4,86070.17,0.0,1.0,0.0,0,1,1,1,0
4,86070.17,86070.17,0.0,0.0,86070.17,1,1,86070.17,-86070.17,1.0,0.0,0,1,1,0,0
5,120074.73,120074.73,0.0,0.0,0.0,1,4,120074.73,0.0,1.0,0.0,0,1,1,1,0
5,120074.73,120074.73,0.0,0.0,120074.73,1,1,120074.73,-120074.73,1.0,0.0,0,1,1,0,0
5,60726.57,60726.57,0.0,0.0,0.0,1,4,60726.57,0.0,1.0,0.0,0,1,1,1,0
5,60726.57,60726.57,0.0,13000000.0,13100000.0,1,1,60726.57,-100000.0,1.0,0.004671274615384615,0,1,0,0,0
5,10119.47,10119.47,0.0,0.0,0.0,1,4,10119.47,0.0,1.0,0.0,0,1,1,1,0
5,10119.47,10119.47,0.0,0.0,10119.47,1,1,10119.47,-10119.47,1.0,0.0,0,1,1,0,0
6,33332.86,33332.86,0.0,0.0,0.0,1,4,33332.86,0.0,1.0,0.0,0,1,1,1,0
6,33332.86,33332.86,0.0,31002.0,0.0,1,1,33332.86,31002.0,1.0,1.075184181665699,0,1,0,1,0
6,25975.86,25975.86,0.0,0.0,0.0,1,4,25975.86,0.0,1.0,0.0,0,1,1,1,0
6,25975.86,25975.86,0.0,98152.0,28041.27,1,1,25975.86,70110.73,1.0,0.26464931942293585,0,1,0,0,0
6,26768.5,26768.5,0.0,0.0,0.0,1,4,26768.5,0.0,1.0,0.0,0,1,1,1,0
6,26768.5,26768.5,0.0,101976.0,128744.5,1,1,26768.5,-26768.5,1.0,0.2624980387542167,0,1,0,0,0
6,30521.02,30521.02,0.0,0.0,0.0,1,4,30521.02,0.0,1.0,0.0,0,1,1,1,0
6,30521.02,30521.02,0.0,0.0,30521.02,1,1,30521.02,-30521.02,1.0,0.0,0,1,1,0,0
6,216422.0,216422.0,0.0,0.0,0.0,1,4,216422.0,0.0,1.0,0.0,0,1,1,1,0
6,216422.0,216422.0,0.0,10097.0,48630.5,1,1,216422.0,-38533.5,1.0,21.434287412102606,0,1,0,0,0
6,17320.91,17320.91,0.0,0.0,0.0,1,4,17320.91,0.0,1.0,0.0,0,1,1,1,0
6,17320.91,17320.91,0.0,6244.44,0.0,1,1,17320.91,6244.44,1.0,2.7738131842086724,0,1,0,1,0
6,17246.0,17246.0,0.0,0.0,101717.84,1,4,17246.0,-101717.84,1.0,0.0,0,1,1,0,0
6,17246.0,17246.0,0.0,0.0,17246.0,1,1,17246.0,-17246.0,1.0,0.0,0,1,1,0,0
6,10565.0,10565.0,0.0,0.0,0.0,1,4,10565.0,0.0,1.0,0.0,0,1,1,1,0
6,10565.0,10565.0,0.0,36275.0,24380.72,1,1,10565.0,11894.279999999999,1.0,0.2912474155754652,0,1,0,0,0
6,10224.0,10224.0,0.0,0.0,0.0,1,4,10224.0,0.0,1.0,0.0,0,1,1,1,0
6,10224.0,10224.0,0.0,0.0,10224.0,1,1,10224.0,-10224.0,1.0,0.0,0,1,1,0,0
6,85354.69,85354.69,0.0,0.0,0.0,1,4,85354.69,0.0,1.0,0.0,0,1,1,1,0
6,85354.69,85354.69,0.0,11170.0,10612.55,1,1,85354.69,557.4500000000007,1.0,7.641422560429723,0,1,0,0,0
6,13704.0,13704.0,0.0,0.0,1658746.09,1,4,13704.0,-1658746.09,1.0,0.0,0,1,1,0,0
6,13704.0,13704.0,0.0,3382.84,143675.35,1,1,13704.0,-140292.51,1.0,4.051034042402241,0,1,0,0,0
7,262434.54,262434.54,0.0,0.0,0.0,1,4,262434.54,0.0,1.0,0.0,0,1,1,1,0
7,262434.54,262434.54,0.0,19525.79,438233.86,1,1,262434.54,-418708.07,1.0,13.440405740305513,0,1,0,0,0
7,21729.0,21729.0,0.0,0.0,0.0,1,4,21729.0,0.0,1.0,0.0,0,1,1,1,0
7,21729.0,21729.0,0.0,27335.0,0.0,1,1,21729.0,27335.0,1.0,0.7949149442107188,0,1,0,1,0
7,5460002.91,5460002.91,0.0,0.0,0.0,1,4,5460002.91,0.0,1.0,0.0,0,1,1,1,0
7,5460002.91,5460002.91,0.0,0.0,9281535.44,1,1,5460002.91,-9281535.44,1.0,0.0,0,1,1,0,0
7,164.0,164.0,0.0,0.0,0.0,1,4,164.0,0.0,1.0,0.0,0,1,1,1,0
7,164.0,164.0,0.0,4068.0,0.0,1,1,164.0,4068.0,1.0,0.04031465093411996,0,1,0,1,0
7,21571.0,21571.0,0.0,0.0,0.0,1,4,21571.0,0.0,1.0,0.0,0,1,1,1,0
7,21571.0,21571.0,0.0,30797.41,71140.3,1,1,21571.0,-40342.89,1.0,0.7004160414788126,0,1,0,0,0
7,441445.58,441445.58,0.0,0.0,0.0,1,4,441445.58,0.0,1.0,0.0,0,1,1,1,0
